date,store_id,product_id,stock_on_hand,reorder_status
2026-06-01,STR001,PRD001,95,NORMAL
2026-06-01,STR001,PRD002,45,NORMAL
2026-06-01,STR001,PRD003,41,NORMAL
2026-06-01,STR001,PRD004,100,NORMAL
2026-06-01,STR001,PRD005,25,NORMAL
2026-06-01,STR001,PRD006,145,NORMAL
2026-06-01,STR001,PRD007,94,NORMAL
2026-06-01,STR001,PRD008,60,NORMAL
2026-06-01,STR001,PRD009,56,NORMAL
2026-06-01,STR001,PRD010,23,NORMAL
2026-06-01,STR001,PRD011,92,NORMAL
2026-06-01,STR001,PRD012,25,NORMAL
2026-06-01,STR001,PRD013,182,NORMAL
2026-06-01,STR001,PRD014,56,NORMAL
2026-06-01,STR001,PRD015,71,NORMAL
2026-06-01,STR001,PRD016,135,NORMAL
2026-06-01,STR001,PRD017,72,NORMAL
2026-06-01,STR001,PRD018,199,NORMAL
2026-06-01,STR001,PRD019,106,NORMAL
2026-06-01,STR001,PRD020,94,NORMAL
2026-06-01,STR001,PRD021,116,NORMAL
2026-06-01,STR001,PRD022,72,NORMAL
2026-06-01,STR001,PRD023,116,NORMAL
2026-06-01,STR001,PRD024,111,NORMAL
2026-06-01,STR001,PRD025,43,NORMAL
2026-06-01,STR002,PRD001,105,NORMAL
2026-06-01,STR002,PRD002,49,NORMAL
2026-06-01,STR002,PRD003,35,NORMAL
2026-06-01,STR002,PRD004,97,NORMAL
2026-06-01,STR002,PRD005,31,NORMAL
2026-06-01,STR002,PRD006,141,NORMAL
2026-06-01,STR002,PRD007,97,NORMAL
2026-06-01,STR002,PRD008,55,NORMAL
2026-06-01,STR002,PRD009,65,NORMAL
2026-06-01,STR002,PRD010,27,NORMAL
2026-06-01,STR002,PRD011,101,NORMAL
2026-06-01,STR002,PRD012,380,OVERSTOCKED
2026-06-01,STR002,PRD013,189,NORMAL
2026-06-01,STR002,PRD014,74,NORMAL
2026-06-01,STR002,PRD015,79,NORMAL
2026-06-01,STR002,PRD016,149,NORMAL
2026-06-01,STR002,PRD017,71,NORMAL
2026-06-01,STR002,PRD018,236,NORMAL
2026-06-01,STR002,PRD019,84,NORMAL
2026-06-01,STR002,PRD020,77,NORMAL
