transaction_id,date,store_id,product_id,units_sold,unit_price,total_revenue
TXN000001,2026-06-01,STR001,PRD001,4,49.99,199.96
TXN000002,2026-06-01,STR001,PRD002,3,89.99,269.97
TXN000003,2026-06-01,STR001,PRD003,4,179.99,719.96
TXN000004,2026-06-01,STR001,PRD004,5,34.99,174.95
TXN000005,2026-06-01,STR001,PRD005,5,329.99,1649.95
TXN000006,2026-06-01,STR001,PRD006,8,24.99,199.92
TXN000007,2026-06-01,STR001,PRD007,6,39.99,239.94
TXN000008,2026-06-01,STR001,PRD008,4,79.99,319.96
TXN000009,2026-06-01,STR001,PRD009,5,19.99,99.95
TXN000010,2026-06-01,STR001,PRD010,4,219.99,879.96
TXN000011,2026-06-01,STR001,PRD011,5,16.99,84.95
TXN000012,2026-06-01,STR001,PRD012,9,119.99,1079.91
TXN000013,2026-06-01,STR001,PRD013,8,9.99,79.92
TXN000014,2026-06-01,STR001,PRD014,8,44.99,359.92
TXN000015,2026-06-01,STR001,PRD015,6,34.99,209.94
TXN000016,2026-06-01,STR001,PRD016,14,13.99,195.86
TXN000017,2026-06-01,STR001,PRD017,14,22.99,321.86
TXN000018,2026-06-01,STR001,PRD018,17,4.99,84.83
TXN000019,2026-06-01,STR001,PRD019,11,10.99,120.89
TXN000020,2026-06-01,STR001,PRD020,10,14.99,149.9
TXN000021,2026-06-01,STR001,PRD021,12,12.99,155.88
TXN000022,2026-06-01,STR001,PRD022,6,32.99,197.94
TXN000023,2026-06-01,STR001,PRD023,5,24.99,124.95
TXN000024,2026-06-01,STR001,PRD024,6,27.99,167.94
TXN000025,2026-06-01,STR001,PRD025,7,42.99,300.93
TXN000026,2026-06-01,STR002,PRD001,3,49.99,149.97
TXN000027,2026-06-01,STR002,PRD002,5,89.99,449.95
TXN000028,2026-06-01,STR002,PRD003,6,179.99,1079.94
TXN000029,2026-06-01,STR002,PRD004,2,34.99,69.98
TXN000030,2026-06-01,STR002,PRD005,5,329.99,1649.95
TXN000031,2026-06-01,STR002,PRD006,6,24.99,149.94
TXN000032,2026-06-01,STR002,PRD007,7,39.99,279.93
TXN000033,2026-06-01,STR002,PRD008,6,79.99,479.94
TXN000034,2026-06-01,STR002,PRD009,7,19.99,139.93
TXN000035,2026-06-01,STR002,PRD010,5,219.99,1099.95
TXN000036,2026-06-01,STR002,PRD011,8,16.99,135.92
TXN000037,2026-06-01,STR002,PRD013,4,9.99,39.96
TXN000038,2026-06-01,STR002,PRD014,9,44.99,404.91
TXN000039,2026-06-01,STR002,PRD015,9,34.99,314.91
TXN000040,2026-06-01,STR002,PRD016,9,13.99,125.91
TXN000041,2026-06-01,STR002,PRD017,16,22.99,367.84
TXN000042,2026-06-01,STR002,PRD018,16,4.99,79.84
TXN000043,2026-06-01,STR002,PRD019,13,10.99,142.87
TXN000044,2026-06-01,STR002,PRD020,9,14.99,134.91
TXN000045,2026-06-01,STR002,PRD021,9,12.99,116.91
TXN000046,2026-06-01,STR002,PRD022,11,32.99,362.89
TXN000047,2026-06-01,STR002,PRD023,7,24.99,174.93
TXN000048,2026-06-01,STR002,PRD024,12,27.99,335.88
TXN000049,2026-06-01,STR002,PRD025,5,42.99,214.95
TXN000050,2026-06-01,STR003,PRD001,4,49.99,199.96
TXN000051,2026-06-01,STR003,PRD002,6,89.99,539.94
TXN000052,2026-06-01,STR003,PRD003,2,179.99,359.98
TXN000053,2026-06-01,STR003,PRD004,6,34.99,209.94
TXN000054,2026-06-01,STR003,PRD005,2,329.99,659.98
TXN000055,2026-06-01,STR003,PRD006,8,24.99,199.92
TXN000056,2026-06-01,STR003,PRD007,5,39.99,199.95
TXN000057,2026-06-01,STR003,PRD008,8,79.99,639.92
TXN000058,2026-06-01,STR003,PRD009,7,19.99,139.93
TXN000059,2026-06-01,STR003,PRD010,7,219.99,1539.93
TXN000060,2026-06-01,STR003,PRD011,5,16.99,84.95
TXN000061,2026-06-01,STR003,PRD012,5,119.99,599.95
TXN000062,2026-06-01,STR003,PRD013,6,9.99,59.94
TXN000063,2026-06-01,STR003,PRD014,10,44.99,449.9
TXN000064,2026-06-01,STR003,PRD015,5,34.99,174.95
TXN000065,2026-06-01,STR003,PRD016,16,13.99,223.84
TXN000066,2026-06-01,STR003,PRD017,16,22.99,367.84
TXN000067,2026-06-01,STR003,PRD018,8,4.99,39.92
TXN000068,2026-06-01,STR003,PRD019,13,10.99,142.87
TXN000069,2026-06-01,STR003,PRD020,15,14.99,224.85
TXN000070,2026-06-01,STR003,PRD021,5,12.99,64.95
TXN000071,2026-06-01,STR003,PRD022,6,32.99,197.94
TXN000072,2026-06-01,STR003,PRD023,10,24.99,249.9
TXN000073,2026-06-01,STR003,PRD024,9,27.99,251.91
TXN000074,2026-06-01,STR003,PRD025,8,42.99,343.92
TXN000075,2026-06-02,STR001,PRD001,2,49.99,99.98
TXN000076,2026-06-02,STR001,PRD002,3,89.99,269.97
TXN000077,2026-06-02,STR001,PRD003,4,179.99,719.96
TXN000078,2026-06-02,STR001,PRD004,2,34.99,69.98
TXN000079,2026-06-02,STR001,PRD005,2,329.99,659.98
TXN000080,2026-06-02,STR001,PRD006,8,24.99,199.92
TXN000081,2026-06-02,STR001,PRD007,6,39.99,239.94
TXN000082,2026-06-02,STR001,PRD008,3,79.99,239.97
TXN000083,2026-06-02,STR001,PRD009,7,19.99,139.93
TXN000084,2026-06-02,STR001,PRD010,4,219.99,879.96
TXN000085,2026-06-02,STR001,PRD011,5,16.99,84.95
TXN000086,2026-06-02,STR001,PRD012,9,119.99,1079.91
TXN000087,2026-06-02,STR001,PRD013,7,9.99,69.93
TXN000088,2026-06-02,STR001,PRD014,8,44.99,359.92
TXN000089,2026-06-02,STR001,PRD015,5,34.99,174.95
TXN000090,2026-06-02,STR001,PRD016,12,13.99,167.88
TXN000091,2026-06-02,STR001,PRD017,16,22.99,367.84
TXN000092,2026-06-02,STR001,PRD018,18,4.99,89.82
TXN000093,2026-06-02,STR001,PRD019,11,10.99,120.89
TXN000094,2026-06-02,STR001,PRD020,16,14.99,239.84
TXN000095,2026-06-02,STR001,PRD021,8,12.99,103.92
TXN000096,2026-06-02,STR001,PRD022,9,32.99,296.91
TXN000097,2026-06-02,STR001,PRD023,11,24.99,274.89
TXN000098,2026-06-02,STR001,PRD024,10,27.99,279.9
TXN000099,2026-06-02,STR001,PRD025,12,42.99,515.88
TXN000100,2026-06-02,STR002,PRD001,6,49.99,299.94
TXN000101,2026-06-02,STR002,PRD002,5,89.99,449.95
TXN000102,2026-06-02,STR002,PRD003,2,179.99,359.98
TXN000103,2026-06-02,STR002,PRD004,3,34.99,104.97
TXN000104,2026-06-02,STR002,PRD005,3,329.99,989.97
TXN000105,2026-06-02,STR002,PRD006,3,24.99,74.97
TXN000106,2026-06-02,STR002,PRD007,5,39.99,199.95
TXN000107,2026-06-02,STR002,PRD008,3,79.99,239.97
TXN000108,2026-06-02,STR002,PRD009,7,19.99,139.93
TXN000109,2026-06-02,STR002,PRD010,7,219.99,1539.93
TXN000110,2026-06-02,STR002,PRD011,5,16.99,84.95
TXN000111,2026-06-02,STR002,PRD013,4,9.99,39.96
TXN000112,2026-06-02,STR002,PRD014,4,44.99,179.96
TXN000113,2026-06-02,STR002,PRD015,9,34.99,314.91
TXN000114,2026-06-02,STR002,PRD016,8,13.99,111.92
TXN000115,2026-06-02,STR002,PRD017,11,22.99,252.89
TXN000116,2026-06-02,STR002,PRD018,13,4.99,64.87
TXN000117,2026-06-02,STR002,PRD019,8,10.99,87.92
TXN000118,2026-06-02,STR002,PRD020,13,14.99,194.87
TXN000119,2026-06-02,STR002,PRD021,6,12.99,77.94
TXN000120,2026-06-02,STR002,PRD022,8,32.99,263.92
TXN000121,2026-06-02,STR002,PRD023,9,24.99,224.91
TXN000122,2026-06-02,STR002,PRD024,12,27.99,335.88
TXN000123,2026-06-02,STR002,PRD025,8,42.99,343.92
TXN000124,2026-06-02,STR003,PRD001,6,49.99,299.94
TXN000125,2026-06-02,STR003,PRD002,3,89.99,269.97
TXN000126,2026-06-02,STR003,PRD003,4,179.99,719.96
TXN000127,2026-06-02,STR003,PRD004,6,34.99,209.94
TXN000128,2026-06-02,STR003,PRD005,6,329.99,1979.94
TXN000129,2026-06-02,STR003,PRD006,6,24.99,149.94
TXN000130,2026-06-02,STR003,PRD007,4,39.99,159.96
TXN000131,2026-06-02,STR003,PRD008,6,79.99,479.94
TXN000132,2026-06-02,STR003,PRD009,6,19.99,119.94
TXN000133,2026-06-02,STR003,PRD010,4,219.99,879.96
TXN000134,2026-06-02,STR003,PRD011,4,16.99,67.96
TXN000135,2026-06-02,STR003,PRD012,4,119.99,479.96
TXN000136,2026-06-02,STR003,PRD013,9,9.99,89.91
TXN000137,2026-06-02,STR003,PRD014,7,44.99,314.93
TXN000138,2026-06-02,STR003,PRD015,6,34.99,209.94
TXN000139,2026-06-02,STR003,PRD016,14,13.99,195.86
TXN000140,2026-06-02,STR003,PRD017,14,22.99,321.86
TXN000141,2026-06-02,STR003,PRD018,15,4.99,74.85
TXN000142,2026-06-02,STR003,PRD019,8,10.99,87.92
TXN000143,2026-06-02,STR003,PRD020,9,14.99,134.91
TXN000144,2026-06-02,STR003,PRD021,5,12.99,64.95
TXN000145,2026-06-02,STR003,PRD022,11,32.99,362.89
TXN000146,2026-06-02,STR003,PRD023,10,24.99,249.9
TXN000147,2026-06-02,STR003,PRD024,6,27.99,167.94
TXN000148,2026-06-02,STR003,PRD025,8,42.99,343.92
TXN000149,2026-06-03,STR001,PRD001,3,49.99,149.97
TXN000150,2026-06-03,STR001,PRD002,3,89.99,269.97
TXN000151,2026-06-03,STR001,PRD003,4,179.99,719.96
TXN000152,2026-06-03,STR001,PRD004,5,34.99,174.95
TXN000153,2026-06-03,STR001,PRD005,3,329.99,989.97
TXN000154,2026-06-03,STR001,PRD006,6,24.99,149.94
TXN000155,2026-06-03,STR001,PRD007,4,39.99,159.96
TXN000156,2026-06-03,STR001,PRD008,5,79.99,399.95
TXN000157,2026-06-03,STR001,PRD009,6,19.99,119.94
TXN000158,2026-06-03,STR001,PRD010,4,219.99,879.96
TXN000159,2026-06-03,STR001,PRD011,10,16.99,169.9
TXN000160,2026-06-03,STR001,PRD012,4,119.99,479.96
TXN000161,2026-06-03,STR001,PRD013,10,9.99,99.9
TXN000162,2026-06-03,STR001,PRD014,10,44.99,449.9
TXN000163,2026-06-03,STR001,PRD015,10,34.99,349.9
TXN000164,2026-06-03,STR001,PRD016,16,13.99,223.84
TXN000165,2026-06-03,STR001,PRD017,9,22.99,206.91
TXN000166,2026-06-03,STR001,PRD018,12,4.99,59.88
TXN000167,2026-06-03,STR001,PRD019,16,10.99,175.84
TXN000168,2026-06-03,STR001,PRD020,8,14.99,119.92
TXN000169,2026-06-03,STR001,PRD021,6,12.99,77.94
TXN000170,2026-06-03,STR001,PRD022,8,32.99,263.92
TXN000171,2026-06-03,STR001,PRD023,7,24.99,174.93
TXN000172,2026-06-03,STR001,PRD024,11,27.99,307.89
TXN000173,2026-06-03,STR001,PRD025,12,42.99,515.88
TXN000174,2026-06-03,STR002,PRD001,3,49.99,149.97
TXN000175,2026-06-03,STR002,PRD002,5,89.99,449.95
TXN000176,2026-06-03,STR002,PRD003,2,179.99,359.98
TXN000177,2026-06-03,STR002,PRD004,3,34.99,104.97
TXN000178,2026-06-03,STR002,PRD005,5,329.99,1649.95
TXN000179,2026-06-03,STR002,PRD006,3,24.99,74.97
TXN000180,2026-06-03,STR002,PRD007,6,39.99,239.94
TXN000181,2026-06-03,STR002,PRD008,5,79.99,399.95
TXN000182,2026-06-03,STR002,PRD009,6,19.99,119.94
TXN000183,2026-06-03,STR002,PRD010,5,219.99,1099.95
TXN000184,2026-06-03,STR002,PRD011,7,16.99,118.93
TXN000185,2026-06-03,STR002,PRD013,9,9.99,89.91
TXN000186,2026-06-03,STR002,PRD014,10,44.99,449.9
TXN000187,2026-06-03,STR002,PRD015,8,34.99,279.92
TXN000188,2026-06-03,STR002,PRD016,15,13.99,209.85
TXN000189,2026-06-03,STR002,PRD017,10,22.99,229.9
TXN000190,2026-06-03,STR002,PRD018,15,4.99,74.85
TXN000191,2026-06-03,STR002,PRD019,12,10.99,131.88
TXN000192,2026-06-03,STR002,PRD020,11,14.99,164.89
TXN000193,2026-06-03,STR002,PRD021,5,12.99,64.95
TXN000194,2026-06-03,STR002,PRD022,5,32.99,164.95
TXN000195,2026-06-03,STR002,PRD023,10,24.99,249.9
TXN000196,2026-06-03,STR002,PRD024,5,27.99,139.95
TXN000197,2026-06-03,STR002,PRD025,5,42.99,214.95
